gene symbol,p_val_adj,avg_logFC,cell type
SEMA3G,0,0.843821,Podocyte
DCN,0,2.358989,Podocyte
CLDN11,0,1.28838,Podocyte
IGF1,0,1.314078,Podocyte
ZDHHC6,0,1.851309,Podocyte
TGFBR3,0,1.695431,Podocyte
FRY,0,1.105284,Podocyte
NEBL,0,1.536258,Podocyte
ARHGAP28,0,1.015261,Podocyte
TYRO3,0,0.915864,Podocyte
MYL9,0,1.739998,Podocyte
TJP1,0,1.705471,Podocyte
PTGDS,0,3.171323,Podocyte
SPOCK2,0,1.633934,Podocyte
VEGFA,0,2.148839,Podocyte
CLIC5,0,2.709043,Podocyte
SEMA5A,0,1.466354,Podocyte
FGF1,0,2.291513,Podocyte
EPB41L5,0,1.289249,Podocyte
IGFBP2,0,1.943855,Podocyte
NPHS2,0,2.955209,Podocyte
F3,0,1.442673,Podocyte
TNNT2,0,1.653284,Podocyte
TCF21,0,1.218199,Podocyte
PDLIM2,0,1.168916,Podocyte
NECAB1,0,0.845584,Podocyte
PODXL,0,3.085521,Podocyte
CDKN1C,0,1.692642,Podocyte
DPP6,0,0.703675,Podocyte
RAMP1,0,1.028141,Podocyte
NES,0,1.287498,Podocyte
TSPAN2,0,1.011459,Podocyte
SULF1,0,0.968102,Podocyte
PLCE1,0,0.833188,Podocyte
ENPEP,0,1.849428,Podocyte
PTPRQ,0,0.996058,Podocyte
C14orf37,0,1.386455,Podocyte
SNCA,0,1.003625,Podocyte
IQGAP2,0,1.341785,Podocyte
CRB2,0,0.824163,Podocyte
PTPRO,0,2.339572,Podocyte
MGAT5,0,0.960077,Podocyte
TMEM178A,0,0.891007,Podocyte
SPOCK1,0,2.263483,Podocyte
PLA2R1,0,2.02766,Podocyte
PTPRD,0,1.130371,Podocyte
FMN2,0,0.85701,Podocyte
TNNI1,0,0.769668,Podocyte
TPPP3,0,1.575669,Podocyte
NPHS1,0,1.063685,Podocyte
MXRA8,0,0.765255,Podocyte
NTNG1,0,1.199199,Podocyte
CDC42EP3,0,1.57868,Podocyte
NFASC,0,1.091827,Podocyte
PCOLCE2,0,1.940375,Podocyte
LRRC2,0,1.00867,Podocyte
ARHGEF3,0,1.111239,Podocyte
SBSPON,0,1.532717,Podocyte
HTRA1,0,2.461815,Podocyte
SOST,0,1.108436,Podocyte
PHYHIP,0,0.857582,Podocyte
NPNT,0,2.255551,Podocyte
COL4A3,0,1.642231,Podocyte
SRGAP2C,0,1.251937,Podocyte
SYNPO,0,1.352299,Podocyte
FRMD3,0,1.038235,Podocyte
MRGPRF,0,0.587876,Podocyte
NDNF,0,1.473907,Podocyte
GOLIM4,0,1.72323,Podocyte
ALS2CL,0,1.315837,Podocyte
PARD6G,0,0.888463,Podocyte
GAS1,0,1.542444,Podocyte
F2R,0,1.191288,Podocyte
FAM89A,0,0.981129,Podocyte
WT1-AS,0,0.567436,Podocyte
CCBE1,0,0.739505,Podocyte
ST6GALNAC3,0,1.103416,Podocyte
WT1,0,1.640291,Podocyte
LINC00839,0,0.930843,Podocyte
APOD,0,1.80894,Podocyte
FAM180A,0,0.666543,Podocyte
MME,0,2.445482,Podocyte
CFAP45,0,0.903194,Podocyte
RP11-550H2.2,0,2.197861,Podocyte
RP11-752D24.2,0,0.779732,Podocyte
TMEM150C,0,1.713386,Podocyte
DACH1,0,1.312687,Podocyte
MPP5,2.75E-303,1.100356,Podocyte
THSD7A,5.41E-301,1.289194,Podocyte
MAGI2,6.46E-300,0.693912,Podocyte
F5,1.74E-294,0.595848,Podocyte
CRIM1,9.59E-293,1.661566,Podocyte
WIPF3,2.10E-291,0.570118,Podocyte
GMDS,2.27E-291,1.149382,Podocyte
FOXC1,2.03E-282,1.213637,Podocyte
FXYD1,1.09E-279,0.821619,Podocyte
FRMD1,7.08E-268,0.580028,Podocyte
ST3GAL6,7.13E-267,0.891645,Podocyte
CDC14A,1.12E-263,0.720988,Podocyte
PARD3B,3.26E-262,0.789616,Podocyte
ARHGEF26,1.10E-261,0.594977,Podocyte
UACA,7.10E-257,1.3281,Podocyte
PTGER4,1.64E-256,0.929697,Podocyte
LOX,4.81E-254,0.687373,Podocyte
AIF1,1.61E-251,1.381952,Podocyte
PDGFRB,8.42E-251,0.725268,Podocyte
FOXC2,6.02E-250,0.584771,Podocyte
ANKS1B,1.65E-249,0.525276,Podocyte
CTGF,6.00E-245,1.570179,Podocyte
RARRES2,3.19E-242,1.323811,Podocyte
CA10,9.12E-241,0.548985,Podocyte
RERG,1.66E-234,0.858964,Podocyte
MYH9,5.26E-230,1.25641,Podocyte
CALM2,1.28E-225,1.139893,Podocyte
EXPH5,3.17E-223,0.688683,Podocyte
AMIGO2,6.50E-223,0.757046,Podocyte
ITM2B,1.01E-218,1.009298,Podocyte
OLFML2A,1.05E-218,0.691117,Podocyte
NDN,9.79E-213,0.698169,Podocyte
SERINC5,1.18E-212,0.879206,Podocyte
BST2,6.53E-212,1.453618,Podocyte
PALLD,5.93E-211,0.992111,Podocyte
SHISA2,1.18E-209,0.617586,Podocyte
SLC9A3R2,5.10E-208,0.971119,Podocyte
SRGAP2B,8.79E-204,0.895506,Podocyte
KLHL42,2.35E-203,0.88369,Podocyte
HS3ST3B1,9.85E-202,0.542508,Podocyte
TMEM98,1.94E-201,0.975071,Podocyte
TCEAL2,4.64E-197,0.665036,Podocyte
MAFB,2.59E-196,1.055999,Podocyte
BCAM,6.17E-196,1.16478,Podocyte
IL1RAP,2.05E-193,0.598875,Podocyte
SEMA3B,8.38E-193,0.814215,Podocyte
ACTN4,1.34E-192,1.175019,Podocyte
RASL11B,2.38E-192,0.533457,Podocyte
KIRREL,2.56E-191,0.582457,Podocyte
TPM2,1.45E-189,0.968623,Podocyte
NQO1,1.18E-188,0.9567,Podocyte
HIPK2,7.11E-184,1.080987,Podocyte
SH3BGRL2,1.28E-178,0.757682,Podocyte
PHACTR4,4.05E-178,0.987485,Podocyte
MTSS1,2.47E-177,0.918202,Podocyte
MSRB3,6.04E-177,0.689676,Podocyte
PRKAR2B,1.28E-175,0.520324,Podocyte
CTDSPL,1.59E-175,0.845793,Podocyte
KANK1,2.98E-172,0.787506,Podocyte
DST,9.54E-172,0.99284,Podocyte
G0S2,2.29E-168,0.900261,Podocyte
CXCL14,4.44E-166,2.291435,Podocyte
ITIH5,1.39E-165,0.634619,Podocyte
CLDN5,1.68E-164,0.715805,Podocyte
NDRG2,3.05E-164,0.784464,Podocyte
ZNRF3,1.05E-161,0.759348,Podocyte
PRKCI,2.25E-161,0.955488,Podocyte
11-Sep,2.61E-159,1.006071,Podocyte
MYLK,1.22E-158,0.851819,Podocyte
MAP1B,4.32E-158,0.812615,Podocyte
FLRT3,4.95E-158,0.823749,Podocyte
CERS6,2.11E-151,0.809094,Podocyte
TRIB2,2.87E-151,0.84147,Podocyte
VAMP5,1.22E-143,0.990353,Podocyte
HSPA12A,2.85E-143,0.546228,Podocyte
CBLB,3.73E-143,0.812277,Podocyte
PDE4DIP,6.35E-143,0.821936,Podocyte
COL4A4,3.17E-142,0.77543,Podocyte
TMSB4X,6.37E-142,0.831074,Podocyte
FAM65A,1.71E-141,0.720185,Podocyte
USP46,5.58E-138,0.604293,Podocyte
CAPN2,6.26E-136,0.86327,Podocyte
ITGA3,1.15E-135,0.845449,Podocyte
SRGAP1,2.75E-135,0.694224,Podocyte
MYO1B,2.84E-135,0.746199,Podocyte
S100A6,2.95E-135,0.816045,Podocyte
VASN,1.97E-133,0.518007,Podocyte
FAM134B,2.82E-133,0.85187,Podocyte
PAK1,1.06E-130,0.632462,Podocyte
ARHGEF12,3.65E-130,0.903216,Podocyte
VAMP2,4.26E-130,0.909545,Podocyte
DSTN,7.83E-130,0.867053,Podocyte
MIB1,5.84E-129,0.738359,Podocyte
AFAP1L2,1.96E-128,0.520114,Podocyte
SLC7A8,5.06E-128,0.666427,Podocyte
SPARC,3.27E-126,0.747699,Podocyte
LGALS8,2.48E-125,0.711797,Podocyte
PMEPA1,3.04E-124,0.58768,Podocyte
BMP2,2.28E-123,0.580115,Podocyte
TIMP2,1.43E-122,0.862986,Podocyte
TIMP3,8.69E-122,0.922557,Podocyte
PEA15,3.47E-121,0.731888,Podocyte
DOCK5,9.15E-120,0.67344,Podocyte
ITGAV,3.29E-119,0.897014,Podocyte
P3H2,6.93E-119,0.663256,Podocyte
PTH1R,1.89E-118,0.712833,Podocyte
DAG1,1.33E-117,0.661429,Podocyte
COL4A5,7.69E-117,0.490447,Podocyte
SLC17A5,1.18E-116,0.618283,Podocyte
SRGAP2,2.19E-115,0.498992,Podocyte
RDX,3.64E-115,0.863396,Podocyte
RASSF8,1.36E-113,0.577905,Podocyte
WASL,2.43E-113,0.784299,Podocyte
MAL2,2.69E-113,0.81367,Podocyte
TNS2,3.75E-113,0.554152,Podocyte
EFNB1,1.19E-112,0.512642,Podocyte
TMCO3,1.20E-112,0.747166,Podocyte
TCF7L1,4.38E-112,0.43562,Podocyte
APBB2,1.05E-111,0.58641,Podocyte
SLK,3.04E-110,0.733792,Podocyte
BGN,7.58E-110,0.760948,Podocyte
EIF3M,6.45E-109,0.854478,Podocyte
MYO1E,7.62E-109,0.52317,Podocyte
SERINC1,2.12E-108,0.767483,Podocyte
NUPR1,2.16E-108,0.795419,Podocyte
TANC1,1.11E-107,0.631577,Podocyte
C1R,4.05E-107,0.71341,Podocyte
CALD1,1.79E-106,0.703956,Podocyte
TOM1L2,1.60E-105,0.563017,Podocyte
CXADR,5.76E-104,0.702066,Podocyte
S100A4,5.76E-102,1.018723,Podocyte
IGFBP7,5.83E-102,0.776512,Podocyte
PAM,1.04E-101,0.782522,Podocyte
CLIP4,1.44E-101,0.457777,Podocyte
NPR1,6.77E-101,0.512123,Podocyte
SIRPA,2.10E-100,0.476438,Podocyte
CD81,4.73E-100,0.843297,Podocyte
NAPEPLD,8.86E-100,0.522236,Podocyte
TXNRD2,1.70E-99,0.522365,Podocyte
RASSF8-AS1,1.98E-99,0.458051,Podocyte
NR2F1,3.97E-99,0.546225,Podocyte
NOTCH2,5.97E-99,0.616918,Podocyte
ANXA2,6.13E-98,0.801793,Podocyte
HMGN3,3.95E-95,0.785208,Podocyte
PAWR,4.32E-95,0.711232,Podocyte
RFC1,8.28E-95,0.683722,Podocyte
LEPROT,2.41E-94,0.747107,Podocyte
ITGB5,2.89E-94,0.601262,Podocyte
ADAMTS9-AS1,7.32E-94,0.567237,Podocyte
PTPN14,1.07E-93,0.66848,Podocyte
GULP1,1.35E-93,0.624957,Podocyte
DYNLL1,1.38E-93,0.698445,Podocyte
PARVA,2.84E-93,0.590646,Podocyte
C1orf115,4.57E-93,0.604681,Podocyte
ITGB8,1.28E-92,0.716289,Podocyte
LGALS1,3.54E-92,0.505459,Podocyte
SDC2,4.57E-92,0.740377,Podocyte
NGFRAP1,5.42E-92,0.704851,Podocyte
TNS3,2.16E-90,0.664538,Podocyte
FBXO21,2.43E-90,0.782041,Podocyte
KANK2,1.09E-89,0.567639,Podocyte
EDIL3,9.39E-89,0.488347,Podocyte
ARRDC4,1.41E-87,0.612132,Podocyte
CCDC91,1.43E-87,0.592252,Podocyte
MCC,1.53E-87,0.438294,Podocyte
NLK,2.14E-87,0.512431,Podocyte
VKORC1,3.09E-87,0.760616,Podocyte
FERMT2,5.58E-87,0.617852,Podocyte
SH3BP5,1.65E-86,0.638739,Podocyte
PDLIM5,1.53E-84,0.706409,Podocyte
LHFP,3.87E-84,0.516349,Podocyte
LAMB2,1.42E-82,0.606436,Podocyte
AHNAK,1.82E-82,0.698843,Podocyte
SORT1,2.20E-82,0.524829,Podocyte
IFITM3,4.13E-82,0.652524,Podocyte
PVRL2,7.31E-82,0.635875,Podocyte
DHRS3,1.74E-81,0.603127,Podocyte
GJA1,2.08E-81,0.520274,Podocyte
SLC48A1,2.55E-79,0.499199,Podocyte
DYNLT3,3.31E-79,0.611801,Podocyte
ITGB1,7.40E-79,0.645067,Podocyte
PRICKLE1,3.22E-78,0.385246,Podocyte
ZNF503,6.64E-78,0.536055,Podocyte
FYN,2.38E-77,0.538672,Podocyte
TMCC3,2.52E-77,0.437106,Podocyte
CHD3,4.18E-77,0.556833,Podocyte
GTF2A2,1.71E-75,0.726853,Podocyte
BEX4,3.63E-75,0.644792,Podocyte
DAB2,5.80E-75,0.654998,Podocyte
PLPP1,1.94E-74,0.578273,Podocyte
STON2,3.91E-74,0.442952,Podocyte
FAM20B,4.17E-74,0.447631,Podocyte
WBP5,5.61E-72,0.668682,Podocyte
SKP1,1.74E-71,0.554487,Podocyte
RBMS1,3.19E-71,0.640543,Podocyte
GADD45A,4.47E-69,0.686969,Podocyte
SPATS2L,9.64E-69,0.657333,Podocyte
EID1,2.44E-68,0.625169,Podocyte
ARMCX3,2.77E-68,0.589197,Podocyte
PARD3,3.55E-68,0.421789,Podocyte
AXL,4.28E-68,0.551034,Podocyte
INF2,4.04E-67,0.489158,Podocyte
TCEAL3,5.55E-67,0.584038,Podocyte
RAI14,1.10E-66,0.495233,Podocyte
7-Sep,2.62E-66,0.616404,Podocyte
SSB,3.45E-66,0.666756,Podocyte
PCYOX1,4.95E-66,0.551443,Podocyte
GABARAPL2,1.31E-65,0.604647,Podocyte
RRAS,1.49E-65,0.504845,Podocyte
DCBLD2,5.04E-65,0.498316,Podocyte
RNF220,1.70E-64,0.475431,Podocyte
ARHGAP29,2.20E-64,0.592709,Podocyte
RAMP3,2.98E-64,0.455973,Podocyte
ST3GAL1,4.75E-64,0.416814,Podocyte
ADD3,1.18E-63,0.600643,Podocyte
TCEB2,2.33E-63,0.483052,Podocyte
PRMT2,4.89E-63,0.626212,Podocyte
SPATA13,4.85E-62,0.537534,Podocyte
SULF2,5.75E-62,0.522414,Podocyte
SGCB,1.98E-61,0.441567,Podocyte
C1orf122,3.97E-61,0.535559,Podocyte
PCMTD1,4.79E-61,0.59651,Podocyte
MGP,5.36E-61,0.352575,Podocyte
FAT1,1.54E-60,0.574111,Podocyte
CPEB4,2.28E-60,0.620268,Podocyte
TACC2,3.94E-60,0.437521,Podocyte
LRP11,1.29E-59,0.38867,Podocyte
ZNF704,1.90E-58,0.453181,Podocyte
ADAMTS9,2.44E-58,0.43012,Podocyte
MACF1,2.53E-58,0.545358,Podocyte
CGNL1,1.79E-57,0.472802,Podocyte
TRAM2,3.40E-56,0.366323,Podocyte
C1S,8.47E-56,0.445864,Podocyte
CITED2,1.04E-55,0.634106,Podocyte
PLPP3,1.09E-55,0.732347,Podocyte
TSHZ1,1.46E-55,0.423019,Podocyte
CD151,4.87E-55,0.680417,Podocyte
RBMS3,2.18E-54,0.426096,Podocyte
EFNB2,3.27E-54,0.39015,Podocyte
ITGA1,4.13E-54,0.421598,Podocyte
PCMTD2,4.93E-54,0.509714,Podocyte
DNAJB9,6.29E-54,0.480659,Podocyte
TUSC3,7.68E-54,0.511349,Podocyte
GSTA4,1.26E-53,0.411247,Podocyte
LBH,1.58E-53,0.477095,Podocyte
FSTL1,3.10E-53,0.476604,Podocyte
PSAP,1.13E-52,0.280204,Podocyte
BNIP3L,2.78E-52,0.511021,Podocyte
ATXN10,4.56E-52,0.488466,Podocyte
H2AFJ,8.17E-52,0.538183,Podocyte
EMCN,8.25E-52,1.014242,Podocyte
SEC62,1.71E-51,0.445383,Podocyte
TMEM14A,1.85E-51,0.533454,Podocyte
AC013461.1,3.28E-51,0.376216,Podocyte
PON2,3.62E-51,0.498368,Podocyte
TIMP1,6.19E-51,1.001013,Podocyte
CYB5B,1.90E-50,0.484562,Podocyte
TMOD3,2.69E-50,0.48146,Podocyte
PLS3,2.70E-50,0.452536,Podocyte
RAPGEF3,3.27E-50,0.392038,Podocyte
CHPT1,1.15E-49,0.466012,Podocyte
SASH1,1.65E-49,0.44884,Podocyte
FGFR1,1.91E-49,0.426136,Podocyte
C6orf203,2.42E-49,0.357267,Podocyte
ARF6,2.53E-49,0.582294,Podocyte
SEPP1,3.91E-49,0.452786,Podocyte
TEAD1,5.11E-49,0.42519,Podocyte
TSC22D3,1.13E-48,0.502403,Podocyte
RBPMS,2.37E-48,0.483162,Podocyte
FNBP1,2.46E-48,0.457418,Podocyte
NEDD9,7.29E-48,0.476802,Podocyte
NPR3,1.38E-47,0.433331,Podocyte
ABRACL,1.39E-47,0.489632,Podocyte
FLT1,1.86E-47,0.32428,Podocyte
NFE2L1,3.96E-47,0.485979,Podocyte
BAIAP2,5.43E-47,0.343959,Podocyte
PABPN1,5.75E-47,0.608724,Podocyte
MYO1C,7.00E-47,0.434993,Podocyte
CAMSAP2,1.38E-46,0.407387,Podocyte
MYLIP,1.57E-46,0.466633,Podocyte
NUCKS1,7.12E-46,0.49181,Podocyte
TM2D1,8.46E-46,0.523641,Podocyte
FO538757.2,9.84E-46,0.421887,Podocyte
HSP90B1,1.27E-45,0.484634,Podocyte
SPINT2,3.29E-45,0.53193,Podocyte
PTBP3,3.78E-45,0.498571,Podocyte
PPP2CB,5.23E-45,0.476076,Podocyte
PAQR7,3.03E-44,0.454199,Podocyte
RCAN1,3.42E-44,0.504473,Podocyte
GALC,1.52E-43,0.319675,Podocyte
ZSWIM6,1.43E-42,0.377126,Podocyte
TLN1,2.14E-42,0.509366,Podocyte
MORF4L1,3.23E-42,0.43505,Podocyte
ANAPC16,1.05E-41,0.467886,Podocyte
IGFBP5,2.05E-41,1.515008,Podocyte
CAST,6.08E-41,0.512411,Podocyte
GOLGA4,6.21E-41,0.456391,Podocyte
AMOTL2,8.80E-41,0.379723,Podocyte
SERPINB9,1.08E-40,0.324956,Podocyte
KLF7,1.47E-40,0.431968,Podocyte
IRF2BPL,1.97E-40,0.451322,Podocyte
SMAD5,2.64E-40,0.453285,Podocyte
ATP6V1G1,3.31E-40,0.422662,Podocyte
SYNE1,6.00E-40,0.493949,Podocyte
RCN2,6.47E-40,0.458685,Podocyte
MAGT1,8.73E-40,0.448813,Podocyte
PFN2,9.13E-40,0.461407,Podocyte
MTHFD2,1.01E-39,0.331622,Podocyte
CASZ1,1.28E-39,0.377125,Podocyte
CH17-189H20.1,1.31E-39,0.394955,Podocyte
SPTAN1,7.80E-39,0.450296,Podocyte
ZEB2,2.34E-38,0.411246,Podocyte
APOL1,4.51E-38,0.4602,Podocyte
APPBP2,7.37E-38,0.362117,Podocyte
TMEM245,9.54E-38,0.444208,Podocyte
QKI,1.17E-37,0.432317,Podocyte
EVA1B,1.47E-37,0.377759,Podocyte
S100A10,2.19E-37,0.600798,Podocyte
LIMS2,4.37E-37,0.315232,Podocyte
CRIP2,4.93E-37,0.451408,Podocyte
MUM1,5.06E-37,0.447887,Podocyte
NFIC,7.27E-37,0.475142,Podocyte
DLC1,1.33E-36,0.329407,Podocyte
FNBP1L,2.40E-36,0.406137,Podocyte
SBDS,3.84E-36,0.457445,Podocyte
WASF2,4.64E-36,0.462158,Podocyte
CSRP1,6.09E-36,0.365376,Podocyte
SERINC3,1.03E-35,0.434042,Podocyte
IFITM2,1.98E-35,0.419334,Podocyte
YAP1,2.81E-35,0.396766,Podocyte
PDK4,7.26E-35,0.39736,Podocyte
PM20D2,8.06E-35,0.346106,Podocyte
CANX,1.00E-34,0.428867,Podocyte
SEL1L,1.41E-34,0.400278,Podocyte
WRB,1.61E-34,0.392403,Podocyte
IGFBP4,2.22E-34,0.587182,Podocyte
CCPG1,2.41E-34,0.409673,Podocyte
GSN,2.47E-34,0.334303,Podocyte
AIF1L,4.73E-34,0.44604,Podocyte
DDX17,1.52E-33,0.398049,Podocyte
TMEM106B,1.81E-33,0.390061,Podocyte
CALCOCO1,2.75E-33,0.350038,Podocyte
HCFC1R1,3.34E-33,0.41409,Podocyte
TERF1,4.03E-33,0.349759,Podocyte
KCNQ1OT1,4.24E-33,0.444239,Podocyte
RGS10,7.62E-33,0.290616,Podocyte
IGF1R,1.45E-32,0.352657,Podocyte
PJA2,1.47E-32,0.406177,Podocyte
CPQ,1.53E-32,0.387714,Podocyte
ARGLU1,1.56E-32,0.423461,Podocyte
IP6K2,2.60E-32,0.372104,Podocyte
B2M,8.66E-32,0.339409,Podocyte
NEK7,1.41E-31,0.312286,Podocyte
TMEM59,2.66E-31,0.36857,Podocyte
RHEB,3.60E-31,0.45281,Podocyte
UTRN,3.77E-31,0.335509,Podocyte
SEC14L1,4.74E-31,0.411492,Podocyte
SSBP3,7.83E-31,0.34044,Podocyte
DPYSL2,9.72E-31,0.361612,Podocyte
MED4,1.37E-30,0.437567,Podocyte
LINC00657,1.39E-30,0.446524,Podocyte
C9orf3,1.44E-30,0.361561,Podocyte
CD47,3.66E-30,0.505989,Podocyte
CSDE1,3.80E-30,0.410452,Podocyte
TLE4,3.81E-30,0.435174,Podocyte
APLP2,7.20E-30,0.361503,Podocyte
CCSER2,8.06E-30,0.343883,Podocyte
PCMT1,1.17E-29,0.398874,Podocyte
LIX1L,5.42E-29,0.286238,Podocyte
MYL6,1.45E-28,0.351527,Podocyte
OPTN,1.60E-28,0.356008,Podocyte
TSC22D1,1.79E-28,0.462253,Podocyte
NPTN,2.53E-28,0.401775,Podocyte
TMEM47,3.78E-28,0.339495,Podocyte
SLF2,1.58E-27,0.317388,Podocyte
CYB5A,1.99E-27,0.406873,Podocyte
EHD2,2.29E-27,0.310313,Podocyte
PPHLN1,2.40E-27,0.345569,Podocyte
RHOQ,2.78E-27,0.305579,Podocyte
SUCO,3.53E-27,0.306708,Podocyte
SOD1,4.00E-27,0.364495,Podocyte
BEX5,6.30E-27,0.398843,Podocyte
POLR2L,6.34E-27,0.357865,Podocyte
XIST,6.99E-27,0.333479,Podocyte
ERLEC1,8.51E-27,0.349673,Podocyte
LUC7L3,1.15E-26,0.388672,Podocyte
MYL12A,1.22E-26,0.356831,Podocyte
TMCO1,1.28E-26,0.386713,Podocyte
RABGAP1L,1.34E-26,0.322769,Podocyte
PDIA3,1.41E-26,0.416335,Podocyte
TSPYL1,3.40E-26,0.414229,Podocyte
ARL3,5.38E-26,0.33703,Podocyte
NCSTN,8.31E-26,0.336778,Podocyte
NDRG1,2.27E-25,0.356922,Podocyte
MED21,3.51E-25,0.294776,Podocyte
SCD5,3.61E-25,0.286344,Podocyte
PTPN13,7.53E-25,0.31975,Podocyte
BNIP2,8.40E-25,0.325844,Podocyte
CAND1,1.03E-24,0.349149,Podocyte
YBX3,1.07E-24,0.353701,Podocyte
AGRN,1.24E-24,0.354172,Podocyte
ARNT,1.28E-24,0.297212,Podocyte
RABAC1,1.54E-24,0.393365,Podocyte
PIGK,2.35E-24,0.319907,Podocyte
CD46,2.75E-24,0.388243,Podocyte
TCEAL4,2.99E-24,0.384038,Podocyte
CIRBP,3.14E-24,0.322932,Podocyte
HIPK3,3.64E-24,0.34048,Podocyte
HMGB1,4.28E-24,0.282697,Podocyte
TRAPPC4,4.39E-24,0.32903,Podocyte
ANKRD44,4.69E-24,0.282885,Podocyte
STAT1,5.74E-24,0.394734,Podocyte
AP3S1,8.92E-24,0.35757,Podocyte
ZBTB38,9.01E-24,0.335578,Podocyte
BORCS7,1.03E-23,0.328089,Podocyte
DYNLRB1,1.07E-23,0.387732,Podocyte
SLC9A3R1,1.35E-23,0.275155,Podocyte
TCEAL8,1.75E-23,0.352669,Podocyte
NMT1,1.79E-23,0.376149,Podocyte
TSPAN4,2.56E-23,0.30552,Podocyte
TXNRD1,3.05E-23,0.263969,Podocyte
CREB3L2,3.74E-23,0.263881,Podocyte
HLA-C,3.75E-23,0.494668,Podocyte
SQRDL,4.44E-23,0.266118,Podocyte
NCKAP1,5.08E-23,0.326858,Podocyte
RNF11,5.18E-23,0.334318,Podocyte
ETHE1,8.24E-23,0.300379,Podocyte
CASC3,1.15E-22,0.279697,Podocyte
NDUFA4,1.18E-22,0.276085,Podocyte
FKBP5,1.44E-22,0.344686,Podocyte
LGR4,1.44E-22,0.281119,Podocyte
RAB2A,1.50E-22,0.352616,Podocyte
POMP,1.76E-22,0.288366,Podocyte
PAPSS1,3.00E-22,0.299963,Podocyte
ZNF667-AS1,3.21E-22,0.278412,Podocyte
CHMP5,3.30E-22,0.360164,Podocyte
STX7,4.24E-22,0.300728,Podocyte
DDX24,4.46E-22,0.367032,Podocyte
PPIG,4.74E-22,0.344088,Podocyte
RAD23B,6.93E-22,0.334162,Podocyte
C4orf3,9.29E-22,0.330715,Podocyte
YWHAG,1.12E-21,0.326306,Podocyte
SLC44A2,1.13E-21,0.313086,Podocyte
2-Sep,1.18E-21,0.354213,Podocyte
OTUD6B-AS1,1.61E-21,0.328845,Podocyte
CYB5R3,1.72E-21,0.371041,Podocyte
CTNNA1,1.78E-21,0.370901,Podocyte
HSPA5,1.79E-21,0.362424,Podocyte
HMGN1,1.91E-21,0.349674,Podocyte
TTC14,2.34E-21,0.340395,Podocyte
CDKN1B,2.52E-21,0.261651,Podocyte
PHACTR2,4.28E-21,0.305766,Podocyte
COX7A1,5.71E-21,0.256586,Podocyte
LGALS3BP,6.05E-21,0.325913,Podocyte
KIF5B,1.60E-20,0.341349,Podocyte
PARD6B,1.69E-20,0.298838,Podocyte
PURA,1.99E-20,0.319791,Podocyte
SLC25A37,2.18E-20,0.343848,Podocyte
CD164,2.29E-20,0.339545,Podocyte
CALU,2.34E-20,0.312119,Podocyte
CLTB,2.35E-20,0.310628,Podocyte
ARHGAP5,2.45E-20,0.323665,Podocyte
TCEA2,2.61E-20,0.25616,Podocyte
REEP5,3.25E-20,0.314453,Podocyte
CNN3,5.18E-20,0.338747,Podocyte
MSI2,5.29E-20,0.301309,Podocyte
TGOLN2,5.49E-20,0.326226,Podocyte
HLA-B,5.51E-20,0.387516,Podocyte
PSIP1,5.97E-20,0.290274,Podocyte
MXD4,9.95E-20,0.265063,Podocyte
ARPP19,1.20E-19,0.355115,Podocyte
C8orf33,1.44E-19,0.31639,Podocyte
TMEM128,1.58E-19,0.282799,Podocyte
AKAP9,1.66E-19,0.308211,Podocyte
RNF145,1.85E-19,0.339219,Podocyte
BRK1,2.11E-19,0.357819,Podocyte
DNAJC3,2.64E-19,0.312907,Podocyte
MPHOSPH8,2.84E-19,0.345417,Podocyte
PLOD2,3.14E-19,0.289637,Podocyte
ANKRD40,3.57E-19,0.261153,Podocyte
TMBIM4,4.24E-19,0.354487,Podocyte
TMX4,5.86E-19,0.305474,Podocyte
CNBP,6.58E-19,0.350506,Podocyte
SLC6A6,7.27E-19,0.261513,Podocyte
DYNC1I2,8.20E-19,0.363285,Podocyte
MAN1A2,8.78E-19,0.306697,Podocyte
KTN1,1.13E-18,0.328094,Podocyte
TPD52,1.41E-18,0.276233,Podocyte
PLXDC2,3.26E-18,0.253164,Podocyte
WWC2,3.52E-18,0.253724,Podocyte
RBFOX2,3.63E-18,0.257599,Podocyte
FHL1,3.69E-18,0.265073,Podocyte
NSRP1,4.02E-18,0.33597,Podocyte
NRIP1,6.20E-18,0.282284,Podocyte
PLEKHA5,6.32E-18,0.266606,Podocyte
LAMP1,9.28E-18,0.329749,Podocyte
LENG8,1.07E-17,0.348315,Podocyte
ZCRB1,1.09E-17,0.30114,Podocyte
EIF5B,1.48E-17,0.32496,Podocyte
C11orf73,1.79E-17,0.287068,Podocyte
UQCR10,1.88E-17,0.285151,Podocyte
N4BP2L2,2.40E-17,0.297041,Podocyte
RBX1,2.63E-17,0.338053,Podocyte
C7orf55,6.15E-17,0.284512,Podocyte
SPTBN1,9.94E-17,0.341859,Podocyte
ZRANB2,1.01E-16,0.290941,Podocyte
MYL12B,1.18E-16,0.297101,Podocyte
ERH,1.32E-16,0.302321,Podocyte
ZMYND11,1.49E-16,0.261151,Podocyte
VCL,1.69E-16,0.294839,Podocyte
WWP1,1.74E-16,0.260412,Podocyte
SCARB2,2.43E-16,0.28718,Podocyte
PRDX6,2.44E-16,0.306564,Podocyte
HP1BP3,3.17E-16,0.308144,Podocyte
